objectid,filename,title,format,description,creator,date,subject,setting,location,latitude,longitude,type,rights,rightsstatement,language
cat029,PXL_20221203_035956525.jpg,Sesame,image/jpeg,Sesame is feeling cute.,Steven,2022-12-02,Sesame,,"Newark, NJ",40.7357,-74.1724,Image;StillImage,Images may be used for educational and personal use that is non-commercial in nature.,https://creativecommons.org/licenses/by-nc-nd/4.0/,eng
cat030,MVIMG_20200910_181010.mp4,Door Stopper,video/mp4,Sesame swats away Tofu's attempts to enter.,Steven,2020-09-10,Sesame;Tofu,,"Madison, WI",43.0722,-89.4008,Image;MovingImage,Images may be used for educational and personal use that is non-commercial in nature.,https://creativecommons.org/licenses/by-nc-nd/4.0/,eng
cat031,FB_IMG_1608095898683.jpg,Hydrating,image/jpeg,Bella takes a drink from the sink.,Steven,2012-04-07,Bella,,"Perry Hall, MD",39.4126,-76.4636,Image;StillImage,Images may be used for educational and personal use that is non-commercial in nature.,https://creativecommons.org/licenses/by-nc-nd/4.0/,eng
cat032,PXL_20221127_161254499.jpg,Staring,image/jpeg,"Despite his expression, Yodi is actually feeling very social.",Steven,2022-11-27,Yodi,,"Jarrettsville,  MD",39.6045,-76.4777,Image;StillImage,Images may be used for educational and personal use that is non-commercial in nature.,https://creativecommons.org/licenses/by-nc-nd/4.0/,eng
cat033,IMG_001.jpg,Ghost,image/jpeg,Mahi needed a better view.,Lily,2021-05-29,Mahi,,"Newark, NJ",40.7357,-74.1724,Image;StillImage,Images may be used for educational and personal use that is non-commercial in nature.,https://creativecommons.org/licenses/by-nc-nd/4.0/,eng
cat034,IMG_20200818_155515.jpg,Tusi Paw,image/jpeg,A close-up look at Tusi's paw.,Lily,2020-08-18,Tusi,,"Newark, NJ",40.7357,-74.1724,Image;StillImage,Images may be used for educational and personal use that is non-commercial in nature.,https://creativecommons.org/licenses/by-nc-nd/4.0/,eng
cat035,PXL_20201208_034917465_2.jpg,Tofu Paw,image/jpeg,A close-up look at Tofu's paw.,Steven,2020-12-07,Tofu,,"Madison, WI",43.0722,-89.4008,Image;StillImage,Images may be used for educational and personal use that is non-commercial in nature.,https://creativecommons.org/licenses/by-nc-nd/4.0/,eng
cat036,MVIMG_8798.mp4,Rotations,video/mp4,One of Nook's favorite activities is spinning.,Charlotte,2022-06-02,Nook,,"Seattle, WA",47.6062,-122.3321,Image;MovingImage,Videos may be used for educational and personal use that is non-commercial in nature.,https://creativecommons.org/licenses/by-nc-nd/4.0/,eng
cat037,IMG_002.jpg,Feeling Witchy,image/jpeg,Mei embraces the spirit of Halloween.,Soleil,2021-10-27,Mei,,"Madison, WI",43.0722,-89.4008,Image;StillImage,Images may be used for educational and personal use that is non-commercial in nature.,https://creativecommons.org/licenses/by-nc-nd/4.0/,eng
cat038,IMG_003.jpg,Reaching Out,image/jpeg,Fiadh shows off her whiskers while reaching for the camera.,Caitlin,2020-12-28,Fiadh,,"Madison, WI",43.0722,-89.4008,Image;StillImage,Images may be used for educational and personal use that is non-commercial in nature.,https://creativecommons.org/licenses/by-nc-nd/4.0/,eng
cat039,IMG_004.jpg,Feeling Fluffy,image/jpeg,Jasper is relaxing.,Issac,2022-12-04,Jasper,,"Washington, DC",38.9072,-77.0369,Image;StillImage,Images may be used for educational and personal use that is non-commercial in nature.,https://creativecommons.org/licenses/by-nc-nd/4.0/,eng
cat040,20221107_095728.jpg,Reflecting,image/jpeg,Jasper is lost in thought.,Issac,2022-11-16,Jasper,cat bed,"Washington, DC",38.9072,-77.0369,Image;StillImage,Images may be used for educational and personal use that is non-commercial in nature.,https://creativecommons.org/licenses/by-nc-nd/4.0/,eng
